field,type,notes
study_id,text,Random study identifier. The link to the patient is held separately by the site.
enrolled_date,date,YYYY-MM-DD.
age,number,Years at enrolment. Eligible if 20 or over.
gender,0/1,"0 female, 1 male."
race_ethnicity,text,Collected deliberately. Subgroup accuracy is unmeasured for most panels without it.
bmi,number,kg/m2.
wbc,number,K/uL.
rbc,number,M/uL.
hemoglobin,number,g/dL.
platelets,number,K/uL.
glucose,number,"mg/dL, fasting."
calcium,number,mg/dL.
bun,number,mg/dL.
creatinine,number,mg/dL.
protein_total,number,g/dL.
albumin,number,g/dL.
ast,number,U/L.
alt,number,U/L.
bilirubin,number,"mg/dL, total."
alkaline_phosphatase,number,U/L.
smoking,0/1/2,"0 never, 1 former, 2 current."
alcohol_intake,0-5,0 none through 5 heavy.
physical_activity,number,"Hours of activity per week, 0 to 10."
genetic_risk,0/1/2,"0 low, 1 medium, 2 high."
cancer_history,0/1,Any prior cancer diagnosis.
family_history_cancer,0/1,"Parent, sibling or child."
hepatitis_b,0/1,
hepatitis_c,0/1,
cirrhosis_history,0/1,
diabetes,0/1,
parser_used,0/1,1 if values came from the PDF parser rather than manual entry.
parser_fields_corrected,number,Fields the reviewer had to correct. Feeds the parser accuracy endpoint.
outcome_general,0/1/blank,"Incident cancer of any site at 12 months, by blinded chart review."
outcome_liver,0/1/blank,Liver disease documented at 12 months.
outcome_breast,0/1/blank,Malignant on biopsy. Blank unless a biopsy was performed.
outcome_ascertained,0/1,1 if 12 month chart review was completed. Rows with 0 are excluded.
